	k
0	0.020000000000000004
1	0.049237749785118065
2	0.053161259264075465
3	0.05566187221462852
4	0.0576511700050161
5	0.05935411821289692
6	0.060863631297000724
7	0.06222044245947216
8	0.0634619497197634
9	0.06461334515811996
10	0.06569179758502425
11	0.06670963070251323
12	0.06767604537260143
13	0.06859812657694679
14	0.06948146779501227
15	0.07033122186050918
16	0.07115674342616846
17	0.0719613803114083
18	0.0727466416856129
19	0.07351386326782254
20	0.07426423401243225
21	0.07499881774452435
22	0.07571857084842312
23	0.07642435688014751
24	0.07711695870524636
25	0.07779708867945909
26	0.07846539723256155
27	0.0791224801478537
28	0.07976888478526789
29	0.08040613006112884
30	0.08103816783353439
31	0.08166544113878868
32	0.08228805612659533
33	0.08290611506333151
34	0.08351971652675567
35	0.08412895559052862
36	0.08473392399626692
37	0.08533471031400391
38	0.08593140009356487
39	0.08652407600849671
40	0.08711281798736092
41	0.08769770334012306
42	0.08827880687894843
43	0.08885620102792097
44	0.08942995592744696
45	0.09000013953475511
46	0.09056825392984777
47	0.09113575683927316
48	0.09170265023342539
49	0.0922689360711676
50	0.09283461630304891
51	0.09339969286632399
52	0.09396416769029782
53	0.09452804269329565
54	0.09509131978406468
55	0.0956540008590732
56	0.09621608780788521
57	0.09677758250741972
58	0.09733848682595014
59	0.09789880262166986
60	0.09845853174385777
61	0.09901767603173663
62	0.09957623731334121
63	0.10013426793289666
64	0.10069296248572938
65	0.10125283091223754
66	0.10181388064404086
67	0.10237611918970325
68	0.10293955413787682
69	0.10350419315890545
70	0.10407004400604328
71	0.10463711451465696
72	0.10520541260653202
73	0.1057749462875315
74	0.10634572365281625
75	0.10691775288590123
76	0.10749104226028308
77	0.10806560013971986
78	0.10864143498290577
79	0.1092185553423133
80	0.1097969698648259
81	0.11037690865798352
82	0.11095915325916406
83	0.11154379701013073
84	0.11213086981406092
85	0.11272040220218268
86	0.11331242535040806
87	0.11390697109711898
88	0.11450407196630635
89	0.11510376118641781
90	0.11570607271336711
91	0.11631104125140458
92	0.1169187022760094
93	0.11752909206121703
94	0.11814224769994285
95	0.11875820713624376
96	0.11937700918965767
97	0.11999869358103682
98	0.12062357354177518
99	0.12125197697444291
100	0.12188396416205433
101	0.12251959712789824
102	0.1231589397039203
103	0.12380205760878693
104	0.12444901852113034
105	0.1250998921685964
106	0.1257547504121095
107	0.1264136673420453
108	0.12707671937107284
109	0.12774398534157658
110	0.12841554663164853
111	0.1290914872759484
112	0.1297718940836037
113	0.13045688360643054
114	0.13114663828416964
115	0.131841265899766
116	0.13254087121284164
117	0.13324556279309085
118	0.1339554532138994
119	0.1346706592661564
120	0.13539130217745668
121	0.13611750785558407
122	0.13684940714567115
123	0.13758713610095402
124	0.1383308362843946
125	0.13908065508149242
126	0.13983674604212679
127	0.14059918190512805
128	0.14136793250077692
129	0.14214315062052343
130	0.1429250022981354
131	0.1437136607967124
132	0.14450930705384243
133	0.14531213017112202
134	0.14612232793172822
135	0.14694010737717336
136	0.14776568542051113
137	0.14859928952098542
138	0.14944115841341546
139	0.15029159585113797
140	0.15115154104776884
141	0.1520215261314545
142	0.15290191118432048
143	0.15379307834055517
144	0.15469543372196776
145	0.1556094096118514
146	0.1565354668623156
147	0.15747409762052741
148	0.15842582838136604
149	0.15939122344448214
150	0.1603708083870478
151	0.16136437088555608
152	0.16237229406013504
153	0.16339521921551392
154	0.1644338368564764
155	0.16548889214107412
156	0.16656119113860243
157	0.1676516080313221
158	0.16876109346144952
159	0.16989068423257128
160	0.17103983748459062
161	0.17220712361005078
162	0.17339340905624331
163	0.17459965290226873
164	0.1758268977379875
165	0.17707628021932548
166	0.17834904339025603
167	0.17964655117073805
168	0.1809690101671495
169	0.18231441860554276
170	0.18368382674602565
171	0.18507856666792813
172	0.18650009843705154
173	0.18795002800915991
174	0.18943012849656932
175	0.19094127075873255
176	0.19248114479143946
177	0.1940510137664514
178	0.19565270191189077
179	0.19728822622076453
180	0.19895982623325761
181	0.20066950266518221
182	0.20241491700728909
183	0.2041970771451804
184	0.20601840647833117
185	0.20788160710289083
186	0.20978970686868909
187	0.21174301887332414
188	0.21374004999745175
189	0.2157838238405308
190	0.21787778483020642
191	0.22002582181993577
192	0.22222772348040182
193	0.22448312652647487
194	0.2267961313960195
195	0.22917139069221606
196	0.231612020042175
197	0.23411595224781068
198	0.23668772291781964
199	0.23933316412159125
200	0.2420556973349091
201	0.24485402414705318
202	0.24773445196288277
203	0.25070431030432955
204	0.25376324482710794
205	0.25691556359320517
206	0.26017036130529914
207	0.2635299997596411
208	0.26699804130294996
209	0.2705855022681883
210	0.27429471691289525
211	0.27813251903740216
212	0.28211074428522337
213	0.28623120519732925
214	0.29050782249655654
215	0.2949468932971186
216	0.29955944707556664
217	0.3043579432424643
218	0.30935199930700036
219	0.31455768997043765
220	0.3199872150659898
221	0.32565757552942876
222	0.3315870553575545
223	0.3377921416715327
224	0.3442982510326033
225	0.35112637515902406
226	0.35830242032767246
227	0.3658583173109853
228	0.3738259061455265
229	0.382241743076729
230	0.3911477100393465
231	0.4005914406129108
232	0.41062703248095356
233	0.42131609117369034
234	0.4327291937427803
235	0.4449479179550358
236	0.4580676722548608
237	0.47220073629686554
238	0.4874758853963412
239	0.5040509348703307
240	0.5221107583841638
241	0.5418805341376515
242	0.5636350429218949
243	0.5877133531871331
244	0.6145408339418577
245	0.6446555720522754
246	0.6787535135934838
247	0.7177508223328821
248	0.7628803544419326
249	0.8159645317337291
250	0.881381489429973
251	0.9655666176000519
252	1.079642725994818
253	1.246873384248533
254	1.527623240947051
255	2.1626256993937782
256	2000.0000000000002
